INFO 2025-08-04 14:05:30,407 Watching for file changes with StatReloader
INFO 2025-08-04 14:05:44,371 "GET / HTTP/1.1" 302 0
INFO 2025-08-04 14:05:47,234 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2025-08-04 14:05:53,859 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19724
INFO 2025-08-04 14:05:53,860 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58578
INFO 2025-08-04 14:05:53,911 "GET /static/dist/css/login-page.css HTTP/1.1" 200 8610
INFO 2025-08-04 14:05:53,913 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2025-08-04 14:05:54,300 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13632
INFO 2025-08-04 14:05:54,303 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88145
INFO 2025-08-04 14:05:54,345 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
INFO 2025-08-04 14:05:54,365 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
INFO 2025-08-04 14:05:54,371 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42383
INFO 2025-08-04 14:05:54,491 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686707
INFO 2025-08-04 14:05:54,515 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 57530
INFO 2025-08-04 14:05:54,791 "GET /static/dist/js/demo.js HTTP/1.1" 200 12616
INFO 2025-08-04 14:05:58,210 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2025-08-04 14:05:59,322 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2025-08-04 14:06:35,963 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2025-08-04 14:06:36,065 "GET / HTTP/1.1" 200 9290
INFO 2025-08-04 14:06:36,483 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25780
INFO 2025-08-04 14:06:36,521 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042446
